ID,STATE_CODE,STATE_NAME,CITY,COUNTY,LATITUDE,LONGITUDE
1,AK,Alaska,Adak,"Aleutians West",55.999722,-161.207778
2,AK,Alaska,Akiachak,Bethel,60.891854,-161.39233
3,AK,Alaska,Akiak,Bethel,60.890632,-161.199325
4,AK,Alaska,Akutan,"Aleutians East",54.143012,-165.785368
5,AK,Alaska,Alakanuk,"Kusilvak",62.746967,-164.60228
6,AK,Alaska,Aleknagik,Dillingham,59.269688,-158.619882
7,AK,Alaska,Allakaket,"Yukon Koyukuk",66.543197,-152.712155
8,AK,Alaska,Ambler,"Northwest Arctic",67.46951,-156.455652
9,AK,Alaska,"Anaktuvuk Pass","North Slope",68.11878,-151.679005
10,AK,Alaska,"Anchor Point","Kenai Peninsula",59.788818,-151.732933
11,AK,Alaska,Anchorage,Anchorage,61.211571,-149.876077
12,AK,Alaska,Anderson,Denali,64.300693,-149.1718
13,AK,Alaska,Angoon,"Skagway Hoonah Angoon",57.569832,-134.371052
14,AK,Alaska,Aniak,Bethel,61.691648,-157.758502
15,AK,Alaska,Anvik,"Yukon Koyukuk",62.830913,-160.130441
16,AK,Alaska,"Arctic Village","Yukon Koyukuk",68.077395,-145.423115
17,AK,Alaska,Atka,"Aleutians West",52.199167,-174.213333
18,AK,Alaska,Atqasuk,"North Slope",71.290556,-156.788611
19,AK,Alaska,"Auke Bay",Juneau,58.3833,-134.6597
20,AK,Alaska,Barrow,"North Slope",71.234637,-156.817409
21,AK,Alaska,Beaver,"Yukon Koyukuk",66.33883,-147.279803
22,AK,Alaska,Bethel,Bethel,60.832389,-161.824053
23,AK,Alaska,"Bettles Field","Yukon Koyukuk",67.100495,-151.062414
24,AK,Alaska,"Big Lake","Matanuska Susitna",61.5842,-149.4401
25,AK,Alaska,"Brevig Mission",Nome,65.334187,-166.478578
26,AK,Alaska,Buckland,"Northwest Arctic",65.981052,-161.131676
27,AK,Alaska,Cantwell,Denali,63.395458,-148.89735
28,AK,Alaska,Central,"Yukon Koyukuk",65.468058,-144.74886
29,AK,Alaska,Chalkyitsik,"Yukon Koyukuk",66.719,-143.638121
30,AK,Alaska,Chefornak,Bethel,60.153746,-164.210294
31,AK,Alaska,Chevak,"Kusilvak",61.583982,-164.776457
32,AK,Alaska,Chicken,"Southeast Fairbanks",64.075,-141.933333
33,AK,Alaska,Chignik,"Lake And Peninsula",56.301639,-158.415696
34,AK,Alaska,"Chignik Lagoon","Lake And Peninsula",56.251277,-158.673528
35,AK,Alaska,"Chignik Lake","Lake And Peninsula",56.255556,-158.7625
36,AK,Alaska,Chitina,"Valdez Cordova",61.516667,-144.436667
37,AK,Alaska,Chugiak,Anchorage,61.409802,-149.453736
38,AK,Alaska,Circle,"Yukon Koyukuk",65.824542,-144.08262
39,AK,Alaska,"Clam Gulch","Kenai Peninsula",60.201603,-151.422628
40,AK,Alaska,"Clarks Point",Dillingham,58.84921,-158.451241
41,AK,Alaska,Clear,Denali,64.418121,-149.139885
42,AK,Alaska,"Coffman Cove","Prince Wales Ketchikan",55.342222,-131.646111
43,AK,Alaska,"Cold Bay","Aleutians East",55.610952,-161.942941
44,AK,Alaska,"Cooper Landing","Kenai Peninsula",60.476692,-149.823514
45,AK,Alaska,"Copper Center","Valdez Cordova",61.91581,-144.97793
46,AK,Alaska,Cordova,"Valdez Cordova",60.102558,-147.943316
47,AK,Alaska,Craig,"Prince Wales Ketchikan",55.47317,-133.117081
48,AK,Alaska,"Crooked Creek",Bethel,61.818072,-158.002483
49,AK,Alaska,Deering,"Northwest Arctic",66.062265,-162.711951
50,AK,Alaska,"Delta Junction","Southeast Fairbanks",64.005426,-145.613611
51,AK,Alaska,"Denali National Park",Denali,63.516075,-149.539532
52,AK,Alaska,Dillingham,Dillingham,59.059279,-158.973533
53,AK,Alaska,Douglas,Juneau,58.275597,-134.395041
54,AK,Alaska,"Dutch Harbor","Aleutians West",53.362757,-167.510656
55,AK,Alaska,Eagle,"Southeast Fairbanks",64.783333,-141.2
56,AK,Alaska,"Eagle River",Anchorage,61.311357,-149.508515
57,AK,Alaska,Eek,Bethel,60.215058,-162.032341
58,AK,Alaska,Egegik,"Lake And Peninsula",58.206174,-157.342202
59,AK,Alaska,"Eielson Afb","Fairbanks North Star",64.67352,-147.08051
60,AK,Alaska,Ekwok,Dillingham,59.362792,-157.478211
61,AK,Alaska,"Elfin Cove","Skagway Hoonah Angoon",58.195,-136.358333
62,AK,Alaska,Elim,Nome,64.621662,-162.260371
63,AK,Alaska,"Elmendorf Afb",Anchorage,61.251531,-149.812667
64,AK,Alaska,Emmonak,"Kusilvak",62.827404,-164.131298
65,AK,Alaska,Ester,"Fairbanks North Star",64.846667,-148.016667
66,AK,Alaska,Fairbanks,"Fairbanks North Star",64.840238,-147.710431
67,AK,Alaska,"False Pass","Aleutians East",54.841028,-163.436845
68,AK,Alaska,"Fort Greely","Southeast Fairbanks",64.036667,-145.733333
